Gene,lof.oe_ci.upper
A1BG,1.256
A1CF,0.788
A2M,0.765
A2ML1,0.828
A3GALT2,1.529
A4GALT,1.393
A4GNT,1.375
AAAS,0.851
AACS,0.945
AADAC,1.03
AADACL2,1.529
AADACL3,1.25
AADACL4,1.063
AADAT,0.605
AAGAB,1.156
AAK1,0.336
AAMDC,1.504
AAMP,0.372
AANAT,0.961
AAR2,1.472
AARD,1.719
AARS1,0.743
AARS2,0.728
AARSD1,1.122
AASDH,0.903
AASDHPPT,0.754
AASS,0.948
AATF,1.016
AATK,1.534
ABAT,0.808
ABCA1,0.563
ABCA10,1.044
ABCA12,0.56
ABCA13,1.026
ABCA2,0.436
ABCA3,0.609
ABCA4,0.786
ABCA5,0.952
ABCA6,1.034
ABCA7,1.089
ABCA8,1.018
ABCA9,0.993
ABCB1,0.575
ABCB10,1.028
ABCB11,0.708
ABCB4,0.6
ABCB5,1.134
ABCB6,0.984
ABCB8,0.886
ABCB9,0.754
ABCC1,0.542
ABCC10,0.894
ABCC11,0.997
ABCC12,1.016
ABCC2,0.981
ABCC3,0.831
ABCC4,0.636
ABCC5,0.409
ABCC6,0.881
ABCC8,0.621
ABCC9,0.54
ABCD2,0.627
ABCD3,0.481
ABCD4,0.758
ABCE1,0.466
ABCF1,0.687
ABCF2,0.61
ABCF2-H2BE1,0.633
ABCF3,0.756
ABCG1,0.521
ABCG2,1.273
ABCG4,0.693
ABCG5,1.172
ABCG8,1.301
ABHD1,1.296
ABHD10,1.037
ABHD11,1.134
ABHD12,0.757
ABHD12B,1.08
ABHD13,0.504
ABHD14A,0.908
ABHD14A-ACY1,0.821
ABHD14B,1.789
ABHD15,1.479
ABHD16A,0.686
ABHD16B,1.955
ABHD17A,0.686
ABHD17B,0.579
ABHD17C,0.718
ABHD18,1.023
ABHD2,0.57
ABHD3,1.171
ABHD4,1.038
ABHD5,0.774
ABHD6,1.057
ABHD8,0.664
ABI1,0.329
ABI2,0.522
ABI3,1.061
ABI3BP,0.874
ABITRAM,1.107
ABL1,0.19
ABL2,0.552
ABLIM1,0.467
ABLIM2,0.65
ABLIM3,0.653
ABO,1.293
ABR,0.424
ABRA,0.993
ABRACL,1.243
ABRAXAS1,1.292
ABRAXAS2,0.641
ABT1,1.2
ABTB1,0.944
ABTB2,0.733
ACAA1,1.119
ACAA2,1.132
ACACA,0.344
ACACB,0.843
ACAD10,1.05
ACAD11,1.01
ACAD8,0.985
ACAD9,0.778
ACADL,1.203
ACADM,0.991
ACADS,0.852
ACADSB,0.782
ACADVL,0.97
ACAN,0.351
ACAP1,0.498
